Product_ID,Channel,Price,Promotion,Competitor_Price,Location_Type,Weekday,Stock_Availability,Sales,Revenue
1,Online,25.03,1,86.5,Urban,Wednesday,In Stock,784.1859997731705,19628.175574322457
2,Physical,25.09,1,27.66,Urban,Monday,Low Stock,544.7508677502512,13667.799271853804
3,Physical,13.3,1,21.3,Urban,Wednesday,In Stock,341.52504503634634,4542.283098983407
4,Online,76.28,1,96.71,Suburban,Wednesday,In Stock,558.9384574576745,42635.825534871416
5,Online,69.74,0,19.72,Urban,Monday,In Stock,345.427129412021,24090.088005194342
6,Online,52.72,1,53.06,Suburban,Friday,In Stock,437.3061807134212,23054.781847211565
7,Online,85.98,1,62.7,Rural,Sunday,Out of Stock,405.2654199376912,34844.72080624269
8,Physical,82.51,0,58.72,Rural,Wednesday,In Stock,394.426702597395,32544.14723131106
9,Physical,62.68,0,17.74,Urban,Monday,In Stock,349.27848012022827,21892.77513393591
10,Physical,88.14,1,15.13,Urban,Friday,Low Stock,165.50430498850005,14587.549441686397
11,Online,28.53,0,19.49,Urban,Sunday,In Stock,564.4800166497369,16104.614875016992
12,Physical,20.07,0,62.7,Suburban,Wednesday,In Stock,725.788061953865,14566.566403414072
13,Physical,34.28,0,58.99,Rural,Sunday,In Stock,446.98161139681577,15322.529638682843
14,Online,15.14,0,31.04,Urban,Friday,In Stock,318.10284270774133,4816.077038595204
15,Online,57.81,0,67.4,Urban,Sunday,In Stock,509.5762806802952,29458.604786127864
16,Online,94.29,1,83.81,Rural,Thursday,In Stock,370.2957560821906,34915.18684098976
17,Online,13.54,0,13.74,Rural,Saturday,In Stock,533.634879508525,7225.416268545428
18,Online,20.99,0,54.83,Urban,Thursday,In Stock,756.4120466567039,15877.088859324213
19,Online,50.7,0,72.04,Suburban,Friday,In Stock,311.99924208111486,15818.361573512524
20,Online,94.05,0,32.71,Urban,Wednesday,In Stock,156.58291201876762,14726.622875365094
21,Physical,38.45,1,37.7,Urban,Monday,In Stock,521.3770406451551,20046.94721280621
22,Online,55.65,0,65.23,Rural,Tuesday,Out of Stock,564.8528361358942,31434.06033096251
23,Online,13.74,0,90.81,Rural,Monday,In Stock,840.7432940584633,13590.1201360062
24,Online,23.35,0,82.89,Suburban,Sunday,Low Stock,608.7635187099627,14214.62816187763
25,Online,98.8,0,62.48,Urban,Tuesday,In Stock,115.937725927548,11454.647321641742
26,Physical,96.86,1,75.72,Rural,Tuesday,Low Stock,377.8778625748777,36601.24976900266
27,Online,10.44,1,42.83,Urban,Sunday,Out of Stock,571.6336513762016,5967.855320367544
28,Online,95.66,0,67.69,Urban,Sunday,In Stock,372.72854776857895,35655.21287954226
29,Online,67.52,0,51.96,Suburban,Wednesday,In Stock,405.2884703298933,27365.077516674395
30,Online,88.11,0,27.09,Urban,Friday,In Stock,141.6136631995402,12477.579864511488
31,Physical,50.93,0,73.16,Suburban,Monday,In Stock,384.7164575752869,19593.60918430936
32,Online,56.4,0,60.08,Suburban,Friday,In Stock,386.75427774256616,21812.94126468073
33,Online,54.0,0,42.28,Urban,Thursday,Low Stock,371.62416899372505,20067.705125661152
34,Physical,70.02,0,92.02,Urban,Wednesday,In Stock,434.7511083830423,30441.272608980616
35,Physical,22.57,0,11.88,Urban,Wednesday,In Stock,449.6523215194416,10148.652896693797
36,Physical,12.7,1,38.42,Urban,Thursday,In Stock,755.8750537734538,9599.613182922863
37,Online,37.71,1,15.12,Suburban,Monday,In Stock,458.633898797856,17295.08432366715
38,Online,73.42,0,78.99,Rural,Saturday,Out of Stock,346.6533159753417,25451.286458909588
39,Physical,28.17,1,73.19,Urban,Thursday,Low Stock,513.9075979110117,14476.7770331532
40,Online,70.61,0,39.82,Urban,Monday,In Stock,310.1190767382475,21897.508008487654
41,Online,97.29,0,70.81,Suburban,Tuesday,In Stock,326.72462461930485,31787.03872921217
42,Online,18.45,1,45.63,Rural,Sunday,In Stock,454.2753638406821,8381.380462860583
43,Online,70.53,1,78.06,Urban,Wednesday,Low Stock,475.02214066054273,33503.31158078808
44,Physical,49.94,1,50.88,Urban,Monday,In Stock,642.9994129920044,32111.390684820697
45,Online,88.13,0,47.11,Suburban,Friday,In Stock,350.59560427012104,30897.990604325765
46,Physical,25.94,0,94.13,Urban,Sunday,Low Stock,634.8133172760793,16467.057450141496
47,Online,72.34,1,32.58,Urban,Friday,In Stock,474.0912298974505,34295.75957078157
48,Online,85.43,0,20.84,Suburban,Sunday,Low Stock,185.30457301103752,15830.569672332937
49,Online,95.02,0,62.61,Suburban,Wednesday,In Stock,221.95802140940376,21090.451194321548
50,Online,71.49,0,97.24,Suburban,Thursday,Out of Stock,571.4558780738157,40853.38072349708
51,Physical,54.75,0,44.01,Suburban,Saturday,In Stock,479.2589379424876,26239.4268523512
52,Physical,65.61,0,15.58,Suburban,Thursday,In Stock,226.8976978368896,14886.757955078325
53,Physical,88.2,0,40.54,Urban,Monday,In Stock,84.50760403220136,7453.57067564016
54,Physical,61.35,1,55.53,Urban,Thursday,Low Stock,423.7834451519683,25999.11436007325
55,Online,12.73,0,24.57,Urban,Wednesday,In Stock,558.9384227465913,7115.286121564108
56,Physical,93.79,0,69.23,Urban,Monday,In Stock,244.36898572767691,22919.367171398822
57,Online,72.06,0,99.8,Suburban,Tuesday,In Stock,480.39678108005154,34617.39204462851
58,Online,70.89,0,50.66,Rural,Thursday,In Stock,495.18205538988985,35103.45590658929
59,Online,29.41,0,41.93,Rural,Thursday,In Stock,471.6222922206925,13870.411614210569
60,Online,69.3,0,46.06,Suburban,Saturday,Low Stock,372.966015298488,25846.54486018521
61,Online,45.45,1,20.36,Urban,Monday,In Stock,550.1353856499566,25003.653277790527
62,Online,68.61,0,89.49,Urban,Friday,In Stock,330.6365741672464,22684.975353614776
63,Physical,19.59,1,47.33,Rural,Thursday,In Stock,548.790077498795,10750.797618201394
64,Online,69.21,0,44.85,Suburban,Wednesday,In Stock,420.0811159903548,29073.81403769245
65,Online,99.95,0,69.37,Suburban,Thursday,In Stock,292.6117520549108,29246.54461788834
66,Online,14.34,0,49.78,Suburban,Saturday,In Stock,561.545861030943,8052.567647183722
